"hsacity","pct_age_65_and_up","pct_female","poverty_pct","pct_less_HS"
"Augusta",0.170719711459643,0.514918848024482,0.125263888888889,0.0914726062083842
"Bangor",0.139464759657918,0.506966971394869,0.162424053590902,0.0777283724579872
"Bar Harbor",0.192008214255155,0.527338067938735,0.129787796072907,0.0513469652327637
"Belfast",0.197389162561576,0.507931034482759,0.205712291895125,0.0917023680649527
"Biddeford",0.178401385081518,0.520069254075891,0.116320316887877,0.0789482598514213
"Blue Hill",0.238518943742824,0.52363184079602,0.136337152845213,0.0769216216216216
"Boothbay Harbor",0.332170880557977,0.508282476024411,0.122837980938934,0.0449410367170627
"Bridgton",0.188501653523277,0.495293818366828,0.137846442924996,0.0775586006656752
"Brunswick",0.195668004055,0.5233376643774,0.111140622694408,0.0593163851887092
"Calais",0.201756468075006,0.508030698631221,0.196152607855763,0.122209661835749
"Caribou",0.213028894250574,0.513917495439299,0.189605800280266,0.166801929996729
"Damariscotta",0.277104136947218,0.529065620542083,0.0895508873596523,0.056749773960217
"Dover-Foxcroft",0.215744585343957,0.519919200987544,0.206725279744234,0.120371918621919
"Ellsworth",0.204251651824188,0.512250174416219,0.153105460608587,0.0874276675139257
"Farmington",0.184015838282797,0.51297280400125,0.147082549072331,0.0881270312384062
"Fort Kent",0.226020202020202,0.497454545454545,0.143804392871944,0.149551448657861
"Greenville",0.229818181818182,0.48969696969697,0.171625276616671,0.0887928751576292
"Houlton",0.210831144017196,0.509792213995701,0.166789305862154,0.124225253500724
"Lewiston",0.145601268224402,0.506252582405073,0.153635842866318,0.108849428270611
"Lincoln",0.201918364489253,0.488062731919065,0.196537102473498,0.151040772532189
"Machias",0.200786885245902,0.498754098360656,0.178431237518077,0.107400545950864
"Millinocket",0.239531694968885,0.482122139014872,0.132451743628026,0.108266741384141
"Norway",0.178070340417529,0.50942260673312,0.146058791925704,0.103025686225132
"Pittsfield",0.164734659151335,0.509146017228544,0.156599190283401,0.120958573244597
"Portland",0.143183464045238,0.512684704395926,0.119062073750522,0.0642674644172716
"Presque Isle",0.176913779210314,0.50781627719581,0.176244418720026,0.123431317741015
"Rockland",0.20625636845323,0.505971061748522,0.118818280376949,0.0678033821440279
"Rumford",0.193818642635877,0.49556462968178,0.225317902557508,0.110715302491103
"Sanford",0.147623881494849,0.505658320174449,0.123365700741647,0.105828520871873
"Skowhegan",0.184088866058816,0.505682547836137,0.18778391450701,0.139398713685684
"Waterville",0.155849073089749,0.513885450494401,0.148411294749039,0.0919024859019579
"York",0.21514520714866,0.512286758732738,0.0629218654121497,0.0491897959183674
"All",0.171102707903278,0.510723223908953,0.139839658137572,0.087132280897403
