GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34
8600000US04543,04543,ZCTA5 04543,911,114,89,48,822,106,49.3,7.6,0.0,22.1,54.6,8.2,22.9,6.9,76.4,18.5,17.2,6.6,9.7,5.0,44.9,24.4,5.8,3.6,24.7,6.7,13.5,16.8,25.9,7.5,99.0,1.2,93.3,9.5,99.6,0.5,99.0,1.2,93.3,9.5,99.6,0.5,0.0,2.4,0.0,22.1,0.0,2.7,0.0,2.4,0.0,22.1,0.0,2.7,0.0,2.4,0.0,22.1,0.0,2.7,0.0,2.4,0.0,22.1,0.0,2.7,0.0,2.4,0.0,22.1,0.0,2.7,1.0,1.2,6.7,9.5,0.4,0.5,1.6,2.5,0.0,22.1,1.8,2.7,97.4,2.7,93.3,9.5,97.8,2.8,43668,4981,19063,5063,46579,5679,473,103,74,45,399,93,22.8,10.4,0.0,25.8,27.1,11.9,41.0,12.5,91.9,12.9,31.6,12.8,36.2,9.9,8.1,12.9,41.4,11.0,0.0,(X),(X),(X),(X),(X)
8600000US04544,04544,ZCTA5 04544,307,82,0,10,307,82,74.3,13.2,-,**,74.3,13.2,6.8,7.2,-,**,6.8,7.2,10.1,11.8,-,**,10.1,11.8,45.0,17.9,-,**,45.0,17.9,100.0,7.1,-,**,100.0,7.1,96.1,6.4,-,**,96.1,6.4,0.0,7.1,-,**,0.0,7.1,3.9,6.4,-,**,3.9,6.4,0.0,7.1,-,**,0.0,7.1,0.0,7.1,-,**,0.0,7.1,0.0,7.1,-,**,0.0,7.1,0.0,7.1,-,**,0.0,7.1,0.0,7.1,-,**,0.0,7.1,96.1,6.4,-,**,96.1,6.4,57875,21958,-,**,57875,21958,216,77,0,10,216,77,32.9,19.9,-,**,32.9,19.9,33.8,19.9,-,**,33.8,19.9,33.3,19.6,-,**,33.3,19.6,0.0,(X),(X),(X),(X),(X)
8600000US04547,04547,ZCTA5 04547,470,51,50,25,420,48,55.1,6.9,22.0,18.8,59.0,6.7,17.9,5.7,42.0,28.2,15.0,5.5,5.5,3.1,8.0,14.1,5.2,3.0,32.3,8.3,50.0,25.8,30.2,8.5,99.6,0.6,100.0,34.4,99.5,0.6,99.1,0.9,100.0,34.4,99.0,1.0,0.0,4.7,0.0,34.4,0.0,5.2,0.4,0.7,0.0,34.4,0.5,0.8,0.0,4.7,0.0,34.4,0.0,5.2,0.0,4.7,0.0,34.4,0.0,5.2,0.0,4.7,0.0,34.4,0.0,5.2,0.4,0.6,0.0,34.4,0.5,0.6,0.0,4.7,0.0,34.4,0.0,5.2,99.1,0.9,100.0,34.4,99.0,1.0,50000,7839,30000,2327,52586,3688,331,47,42,24,289,44,14.8,6.3,23.8,32.2,13.5,5.9,36.0,9.5,59.5,30.1,32.5,10.3,49.2,9.5,16.7,15.7,54.0,9.4,0.0,(X),(X),(X),(X),(X)
8600000US04548,04548,ZCTA5 04548,442,62,27,15,415,63,61.1,8.9,29.6,25.4,63.1,9.3,20.8,7.0,85.2,20.2,16.6,6.6,3.2,2.7,37.0,32.8,1.0,1.7,23.3,8.3,29.6,27.3,22.9,8.4,100.0,5.0,100.0,47.5,100.0,5.3,99.1,1.1,100.0,47.5,99.0,1.2,0.0,5.0,0.0,47.5,0.0,5.3,0.2,0.5,0.0,47.5,0.2,0.6,0.7,1.0,0.0,47.5,0.7,1.1,0.0,5.0,0.0,47.5,0.0,5.3,0.0,5.0,0.0,47.5,0.0,5.3,0.0,5.0,0.0,47.5,0.0,5.3,0.0,5.0,0.0,47.5,0.0,5.3,99.1,1.1,100.0,47.5,99.0,1.2,58684,9215,29821,23265,59934,8075,302,57,27,15,275,56,20.9,8.5,0.0,47.5,22.9,9.1,31.5,9.4,40.7,27.4,30.5,10.0,47.7,9.1,59.3,27.4,46.5,10.0,2.5,(X),(X),(X),(X),(X)
8600000US04551,04551,ZCTA5 04551,369,61,42,29,327,58,59.9,9.5,45.2,33.0,61.8,10.3,26.6,8.3,64.3,27.7,21.7,9.5,2.4,1.9,14.3,15.4,0.9,1.4,32.8,8.4,50.0,30.9,30.6,8.4,100.0,5.9,100.0,38.1,100.0,6.6,99.5,0.9,100.0,38.1,99.4,1.0,0.0,5.9,0.0,38.1,0.0,6.6,0.0,5.9,0.0,38.1,0.0,6.6,0.0,5.9,0.0,38.1,0.0,6.6,0.0,5.9,0.0,38.1,0.0,6.6,0.5,0.9,0.0,38.1,0.6,1.0,0.0,5.9,0.0,38.1,0.0,6.6,0.0,5.9,0.0,38.1,0.0,6.6,99.5,0.9,100.0,38.1,99.4,1.0,55750,12973,39643,19219,58264,7934,256,54,36,27,220,54,19.9,7.8,5.6,11.4,22.3,9.2,21.5,9.4,41.7,33.7,18.2,8.7,58.6,11.4,52.8,33.2,59.5,11.8,1.4,(X),(X),(X),(X),(X)
8600000US04553,04553,ZCTA5 04553,802,77,73,41,729,75,51.2,6.7,41.1,29.0,52.3,5.8,23.4,6.0,27.4,22.9,23.0,6.2,8.9,3.9,35.6,26.5,6.2,3.0,26.6,6.9,12.3,12.0,28.0,7.0,100.0,2.8,100.0,26.0,100.0,3.0,99.1,1.1,100.0,26.0,99.0,1.2,0.0,2.8,0.0,26.0,0.0,3.0,0.0,2.8,0.0,26.0,0.0,3.0,0.4,1.0,0.0,26.0,0.4,1.1,0.0,2.8,0.0,26.0,0.0,3.0,0.5,0.6,0.0,26.0,0.5,0.7,0.0,2.8,0.0,26.0,0.0,3.0,0.5,0.9,0.0,26.0,0.5,0.9,98.6,1.4,100.0,26.0,98.5,1.6,55962,11165,34028,28023,57734,10532,439,68,26,18,413,67,11.8,4.6,23.1,29.8,11.1,4.6,35.3,8.7,46.2,43.2,34.6,9.0,52.8,9.2,30.8,32.3,54.2,9.6,1.1,(X),(X),(X),(X),(X)
8600000US04554,04554,ZCTA5 04554,456,75,49,32,407,73,81.6,10.4,36.7,38.4,87.0,9.2,2.4,3.7,0.0,34.8,2.7,4.1,10.1,7.0,38.8,38.2,6.6,5.5,42.8,14.0,40.8,33.5,43.0,15.0,100.0,4.8,100.0,34.8,100.0,5.4,100.0,4.8,100.0,34.8,100.0,5.4,0.0,4.8,0.0,34.8,0.0,5.4,0.0,4.8,0.0,34.8,0.0,5.4,0.0,4.8,0.0,34.8,0.0,5.4,0.0,4.8,0.0,34.8,0.0,5.4,0.0,4.8,0.0,34.8,0.0,5.4,0.0,4.8,0.0,34.8,0.0,5.4,0.0,4.8,0.0,34.8,0.0,5.4,100.0,4.8,100.0,34.8,100.0,5.4,44762,23556,88875,80553,44107,19151,221,70,31,25,190,70,44.8,17.5,0.0,44.3,52.1,19.1,24.9,16.2,38.7,43.9,22.6,17.6,30.3,15.9,61.3,43.9,25.3,16.7,0.0,(X),(X),(X),(X),(X)
8600000US04555,04555,ZCTA5 04555,771,86,73,33,698,85,44.0,6.6,24.7,20.0,46.0,7.0,25.8,5.9,61.6,23.5,22.1,6.2,12.8,4.5,39.7,22.1,10.0,4.2,18.5,5.2,39.7,24.0,16.3,5.2,97.4,3.4,100.0,26.0,97.1,3.7,97.4,3.4,100.0,26.0,97.1,3.7,0.0,2.9,0.0,26.0,0.0,3.2,0.0,2.9,0.0,26.0,0.0,3.2,0.0,2.9,0.0,26.0,0.0,3.2,0.0,2.9,0.0,26.0,0.0,3.2,0.0,2.9,0.0,26.0,0.0,3.2,2.6,3.4,0.0,26.0,2.9,3.7,1.2,1.5,0.0,26.0,1.3,1.7,96.2,3.6,100.0,26.0,95.8,4.0,52036,8337,25956,11287,56667,12371,517,66,65,33,452,67,14.3,4.6,20.0,22.3,13.5,4.7,28.0,7.7,43.1,28.2,25.9,8.2,57.6,8.1,36.9,26.4,60.6,8.7,1.3,(X),(X),(X),(X),(X)
8600000US04556,04556,ZCTA5 04556,483,53,53,23,430,50,50.3,6.8,37.7,21.3,51.9,6.9,31.1,6.4,54.7,21.9,28.1,6.9,11.0,4.4,30.2,22.0,8.6,4.4,18.0,5.0,34.0,19.9,16.0,4.6,98.8,1.9,88.7,15.3,100.0,5.1,98.1,2.2,83.0,17.1,100.0,5.1,0.0,4.5,0.0,33.1,0.0,5.1,0.0,4.5,0.0,33.1,0.0,5.1,0.0,4.5,0.0,33.1,0.0,5.1,0.0,4.5,0.0,33.1,0.0,5.1,0.6,1.0,5.7,8.9,0.0,5.1,1.2,1.9,11.3,15.3,0.0,5.1,0.0,4.5,0.0,33.1,0.0,5.1,98.1,2.2,83.0,17.1,100.0,5.1,54830,4794,47813,48021,56500,5439,360,52,40,20,320,47,22.2,6.1,20.0,19.1,22.5,6.3,33.1,8.2,32.5,21.8,33.1,9.1,44.7,8.0,47.5,25.6,44.4,8.0,2.3,(X),(X),(X),(X),(X)
8600000US04558,04558,ZCTA5 04558,157,60,16,24,141,58,71.3,21.6,0.0,61.7,79.4,18.8,0.0,13.3,0.0,61.7,0.0,14.7,22.9,20.3,100.0,61.7,14.2,16.9,33.8,22.4,100.0,61.7,26.2,20.1,100.0,13.3,100.0,61.7,100.0,14.7,100.0,13.3,100.0,61.7,100.0,14.7,0.0,13.3,0.0,61.7,0.0,14.7,0.0,13.3,0.0,61.7,0.0,14.7,0.0,13.3,0.0,61.7,0.0,14.7,0.0,13.3,0.0,61.7,0.0,14.7,0.0,13.3,0.0,61.7,0.0,14.7,0.0,13.3,0.0,61.7,0.0,14.7,0.0,13.3,0.0,61.7,0.0,14.7,100.0,13.3,100.0,61.7,100.0,14.7,22604,32051,-,**,24271,58778,84,42,0,10,84,42,21.4,22.0,-,**,21.4,22.0,22.6,22.3,-,**,22.6,22.3,56.0,27.1,-,**,56.0,27.1,0.0,(X),(X),(X),(X),(X)
