GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
8600000US04915,04915,ZCTA5 04915,3691,181,34663,5177,98.5,0.9,34684,5400,0.3,0.4,-,**,0.0,0.6,-,**,0.5,0.4,-,**,0.0,0.6,-,**,0.4,0.6,-,**,0.3,0.3,13958,36349,0.6,0.6,-,**,98.3,0.9,34712,5609,3.3,2.3,22755,9942,22.7,4.1,29418,4153,44.4,3.9,44330,8806,29.7,3.3,37750,14334,2297,164,49611,6844,36.7,5.1,28819,3552,63.3,5.1,59018,6910,77.9,5.0,59656,9588,14.7,4.5,27019,12503,7.4,3.7,40083,18673,1394,215,22172,4000,60.5,6.8,19575,6455,48.8,8.3,19670,7697,11.8,5.6,17396,22172,39.5,6.8,23523,4716,34.8,6.5,22708,5095,4.7,2.5,26875,34656,23.9,(X),(X),(X),24.2,(X),(X),(X),22.7,(X),(X),(X)
8600000US04917,04917,ZCTA5 04917,1168,95,69524,10115,97.0,3.0,69226,10048,0.0,1.9,-,**,0.0,1.9,-,**,0.0,1.9,-,**,0.0,1.9,-,**,0.0,1.9,-,**,3.0,3.0,-,**,0.4,0.7,-,**,96.6,3.1,69524,9806,4.5,4.3,33616,18994,23.9,5.2,77656,21050,48.5,6.4,73622,8016,23.0,4.8,52361,21472,888,95,71270,6337,37.0,7.3,71083,14849,63.0,7.3,71332,8337,80.2,6.8,79063,18004,10.6,4.8,38214,35389,9.2,6.1,29318,47924,280,95,34464,12000,45.7,15.9,23611,9033,38.6,14.9,22778,6025,7.1,7.1,72500,83857,54.3,15.9,41250,25827,41.8,15.5,50625,29704,12.5,15.5,-,**,31.3,(X),(X),(X),30.0,(X),(X),(X),35.7,(X),(X),(X)
8600000US04918,04918,ZCTA5 04918,175,75,30054,19427,100.0,12.0,30054,19427,0.0,12.0,-,**,0.0,12.0,-,**,0.0,12.0,-,**,0.0,12.0,-,**,0.0,12.0,-,**,0.0,12.0,-,**,0.0,12.0,-,**,100.0,12.0,30054,19427,2.9,5.7,-,**,16.6,24.7,-,**,32.0,19.7,48571,36932,48.6,27.1,28259,18515,48,46,17400,75354,0.0,35.3,-,**,100.0,35.3,17400,75354,100.0,35.3,17400,75354,0.0,35.3,-,**,0.0,35.3,-,**,127,61,30163,23250,78.0,28.0,29132,72135,55.1,36.9,28125,7454,22.8,33.3,-,**,22.0,28.0,-,**,22.0,28.0,-,**,0.0,16.2,-,**,32.6,(X),(X),(X),70.8,(X),(X),(X),18.1,(X),(X),(X)
8600000US04920,04920,ZCTA5 04920,808,75,31414,1685,99.4,0.8,31497,1746,0.0,2.7,-,**,0.0,2.7,-,**,0.0,2.7,-,**,0.0,2.7,-,**,0.0,2.7,-,**,0.6,0.8,-,**,0.0,2.7,-,**,99.4,0.8,31497,1746,1.6,1.8,-,**,20.5,6.7,30637,9415,46.5,7.3,41250,8247,31.3,6.1,26518,8856,480,69,39821,5539,30.8,11.0,31806,4693,69.2,11.0,46071,15260,76.0,7.1,46625,18672,15.0,5.2,26250,11111,9.0,5.3,19531,15253,328,54,16276,1655,57.3,10.1,16034,2439,49.4,10.1,14833,3216,7.9,5.9,35625,20270,42.7,10.1,16625,2935,35.7,10.0,16688,3049,7.0,6.0,7396,71839,26.4,(X),(X),(X),30.0,(X),(X),(X),21.0,(X),(X),(X)
8600000US04921,04921,ZCTA5 04921,652,72,33750,5269,90.8,4.0,38958,8528,0.9,1.3,-,**,4.0,3.8,17679,26914,0.0,3.4,-,**,0.0,3.4,-,**,0.0,3.4,-,**,4.3,3.4,30385,18343,0.0,3.4,-,**,90.8,4.0,38958,8528,1.8,1.5,38750,29703,31.9,6.7,38125,17117,35.1,6.5,44821,17049,31.1,6.0,25536,9254,408,54,50250,9570,50.5,8.6,31029,14813,49.5,8.6,54583,4738,70.1,9.4,60208,6996,21.1,7.9,23750,35723,8.8,4.6,19286,2005,244,49,19924,2210,58.2,11.5,20694,2971,52.5,11.5,20156,3375,5.7,4.2,49167,37714,41.8,11.5,19000,2659,35.7,10.7,18250,5232,6.1,4.8,19375,26406,19.5,(X),(X),(X),18.9,(X),(X),(X),18.0,(X),(X),(X)
8600000US04922,04922,ZCTA5 04922,500,58,29028,6295,96.8,2.4,29306,6065,0.0,4.4,-,**,1.2,1.0,-,**,0.0,4.4,-,**,0.0,4.4,-,**,0.0,4.4,-,**,2.0,2.3,-,**,0.0,4.4,-,**,96.8,2.4,29306,6065,4.2,3.8,23661,3215,17.0,6.1,22969,10222,54.4,7.7,34737,14274,24.4,6.6,20000,10617,327,53,42422,13308,34.6,9.7,32875,20652,65.4,9.7,47031,23871,66.4,9.7,60694,22174,18.3,8.7,22708,11146,15.3,7.3,22000,41503,173,40,18698,2823,40.5,11.9,14605,4128,36.4,11.5,14145,1421,4.0,4.2,-,**,59.5,11.9,19427,4287,53.2,12.9,18854,3040,6.4,5.4,24792,96926,26.0,(X),(X),(X),27.5,(X),(X),(X),21.4,(X),(X),(X)
8600000US04923,04923,ZCTA5 04923,219,38,34063,4196,99.1,1.8,34271,4174,0.0,9.8,-,**,0.0,9.8,-,**,0.0,9.8,-,**,0.0,9.8,-,**,0.0,9.8,-,**,0.9,1.8,-,**,0.0,9.8,-,**,99.1,1.8,34271,4174,0.0,9.8,-,**,21.9,9.4,36250,7703,48.4,10.3,45714,15865,29.7,10.0,24250,6939,147,34,42083,8882,21.8,10.7,37188,5174,78.2,10.7,45313,11414,83.7,9.2,46875,5912,9.5,6.2,17500,26837,6.8,8.1,-,**,72,22,18214,3836,58.3,12.4,14500,4754,47.2,14.1,14000,4673,11.1,8.8,23750,15765,41.7,12.4,20000,14671,33.3,11.2,18929,5706,8.3,6.7,45000,24583,16.4,(X),(X),(X),15.0,(X),(X),(X),19.4,(X),(X),(X)
8600000US04924,04924,ZCTA5 04924,836,95,46328,8398,99.2,0.9,46602,9269,0.0,2.7,-,**,0.8,0.9,-,**,0.0,2.7,-,**,0.0,2.7,-,**,0.0,2.7,-,**,0.0,2.7,-,**,0.0,2.7,-,**,99.2,0.9,46602,9269,3.0,2.6,69861,1982,26.9,6.0,44479,7930,50.4,7.0,62125,26012,19.7,5.8,33472,6706,619,97,56339,21319,38.1,8.4,42875,10597,61.9,8.4,70852,15065,76.9,7.6,55357,19620,14.1,6.3,66563,67370,9.0,5.7,83036,72266,217,57,30515,19285,42.9,13.9,31250,4577,33.6,12.7,30521,28499,9.2,7.4,33000,10608,57.1,13.9,21364,19944,39.6,13.8,18077,8485,17.5,11.2,108611,54122,23.4,(X),(X),(X),25.2,(X),(X),(X),18.4,(X),(X),(X)
8600000US04925,04925,ZCTA5 04925,56,18,44500,12890,100.0,31.8,44500,12890,0.0,31.8,-,**,0.0,31.8,-,**,0.0,31.8,-,**,0.0,31.8,-,**,0.0,31.8,-,**,0.0,31.8,-,**,0.0,31.8,-,**,100.0,31.8,44500,12890,3.6,5.7,-,**,39.3,17.7,47500,28934,48.2,20.5,53125,38065,8.9,13.5,22083,37787,19,10,74063,16073,5.3,18.5,-,**,94.7,18.5,74375,13266,100.0,56.6,74063,16073,0.0,56.6,-,**,0.0,56.6,-,**,37,15,40417,12562,45.9,21.9,43250,5543,35.1,21.4,43250,2427,10.8,11.3,-,**,54.1,21.9,31786,8136,40.5,25.6,38125,27006,13.5,19.0,-,**,25.0,(X),(X),(X),10.5,(X),(X),(X),32.4,(X),(X),(X)
8600000US04926,04926,ZCTA5 04926,15,21,-,**,100.0,63.7,-,**,0.0,63.7,-,**,0.0,63.7,-,**,0.0,63.7,-,**,0.0,63.7,-,**,0.0,63.7,-,**,0.0,63.7,-,**,0.0,63.7,-,**,100.0,63.7,-,**,0.0,63.7,-,**,0.0,63.7,-,**,100.0,63.7,-,**,0.0,63.7,-,**,15,21,-,**,100.0,63.7,-,**,0.0,63.7,-,**,0.0,63.7,-,**,0.0,63.7,-,**,100.0,63.7,-,**,0,10,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0.0,(X),(X),(X),0.0,(X),(X),(X),-,(X),(X),(X)
