year,source,hsanum,hsacity,hsastate,agesex_grp,pop
2010,Census+HUD,20029,Sanford,ME,F_10_14,1470.5412800000001
2010,Census+HUD,20030,Skowhegan,ME,F_10_14,912.9457800000001
2010,Census+HUD,20031,Waterville,ME,F_10_14,2095.89844
2010,Census+HUD,20033,York,ME,F_10_14,1239.33472
2010,Census+HUD,20035,Greenville,ME,F_10_14,57.71244
2010,Census+HUD,30006,Dover,NH,F_10_14,385.38448
2010,Census+HUD,20001,Augusta,ME,F_15_19,2231.9989
2010,Census+HUD,20002,Bangor,ME,F_15_19,4729.0039799999995
2010,Census+HUD,20003,Bar Harbor,ME,F_15_19,290.5798
2010,Census+HUD,20005,Belfast,ME,F_15_19,681.0694799999999
2010,Census+HUD,20006,Biddeford,ME,F_15_19,2514.66705
2010,Census+HUD,20007,Blue Hill,ME,F_15_19,323.18100000000004
2010,Census+HUD,20008,Boothbay Harbor,ME,F_15_19,162.92427
2010,Census+HUD,20009,Bridgton,ME,F_15_19,622.7569000000001
2010,Census+HUD,20010,Brunswick,ME,F_15_19,2245.11972
2010,Census+HUD,20011,Calais,ME,F_15_19,344.90092
2010,Census+HUD,20012,Caribou,ME,F_15_19,605.02848
2010,Census+HUD,20013,Damariscotta,ME,F_15_19,283.65843
2010,Census+HUD,20014,Dover-Foxcroft,ME,F_15_19,635.12112
2010,Census+HUD,20015,Ellsworth,ME,F_15_19,750.8594800000001
2010,Census+HUD,20016,Farmington,ME,F_15_19,1488.87376
2010,Census+HUD,20017,Fort Kent,ME,F_15_19,457.47954000000004
2010,Census+HUD,20018,Houlton,ME,F_15_19,540.07991
2010,Census+HUD,20019,Lewiston,ME,F_15_19,3713.66537
2010,Census+HUD,20020,Lincoln,ME,F_15_19,468.94647000000003
2010,Census+HUD,20021,Machias,ME,F_15_19,479.65424
2010,Census+HUD,20022,Millinocket,ME,F_15_19,402.24339
2010,Census+HUD,20023,Norway,ME,F_15_19,852.81695
2010,Census+HUD,20024,Pittsfield,ME,F_15_19,622.78242
2010,Census+HUD,20025,Portland,ME,F_15_19,8041.250010000001
2010,Census+HUD,20026,Presque Isle,ME,F_15_19,708.83463
2010,Census+HUD,20027,Rockland,ME,F_15_19,1289.56379
2010,Census+HUD,20028,Rumford,ME,F_15_19,545.2967
2010,Census+HUD,20029,Sanford,ME,F_15_19,1561.47495
2010,Census+HUD,20030,Skowhegan,ME,F_15_19,907.01612
2010,Census+HUD,20031,Waterville,ME,F_15_19,2277.09097
2010,Census+HUD,20033,York,ME,F_15_19,1315.9713
