year,agesex_grp,hsanum,hsacity,hsastate,hsa_pop
2010,F_15_19,20017,Fort Kent,ME,457.47954000000004
2010,F_15_19,20018,Houlton,ME,540.07991
2010,F_15_19,20019,Lewiston,ME,3713.66537
2010,F_15_19,20020,Lincoln,ME,468.94647000000003
2010,F_15_19,20021,Machias,ME,479.65424
2010,F_15_19,20022,Millinocket,ME,402.24339
2010,F_15_19,20023,Norway,ME,852.81695
2010,F_15_19,20024,Pittsfield,ME,622.78242
2010,F_15_19,20025,Portland,ME,8041.250010000001
2010,F_15_19,20026,Presque Isle,ME,708.83463
2010,F_15_19,20027,Rockland,ME,1289.56379
2010,F_15_19,20028,Rumford,ME,545.2967
2010,F_15_19,20029,Sanford,ME,1561.47495
2010,F_15_19,20030,Skowhegan,ME,907.01612
2010,F_15_19,20031,Waterville,ME,2277.09097
2010,F_15_19,20033,York,ME,1315.9713
2010,F_15_19,20035,Greenville,ME,59.83002
2010,F_15_19,30006,Dover,NH,409.21545000000003
2010,F_15_19,30022,Portsmouth,NH,0
2010,F_20_24,20001,Augusta,ME,2009.7584299999999
2010,F_20_24,20002,Bangor,ME,5452.351419999999
2010,F_20_24,20003,Bar Harbor,ME,269.1276
2010,F_20_24,20005,Belfast,ME,528.91566
2010,F_20_24,20006,Biddeford,ME,2018.0154
2010,F_20_24,20007,Blue Hill,ME,299.322
2010,F_20_24,20008,Boothbay Harbor,ME,130.98579
2010,F_20_24,20009,Bridgton,ME,541.8595
2010,F_20_24,20010,Brunswick,ME,1979.90673
2010,F_20_24,20011,Calais,ME,272.2902
2010,F_20_24,20012,Caribou,ME,485.55584
2010,F_20_24,20013,Damariscotta,ME,228.05211
2010,F_20_24,20014,Dover-Foxcroft,ME,543.29374
2010,F_20_24,20015,Ellsworth,ME,677.5368000000001
2010,F_20_24,20016,Farmington,ME,1512.04359
2010,F_20_24,20017,Fort Kent,ME,367.14282000000003
2010,F_20_24,20018,Houlton,ME,443.88827000000003
2010,F_20_24,20019,Lewiston,ME,3776.32855
2010,F_20_24,20020,Lincoln,ME,546.89476
2010,F_20_24,20021,Machias,ME,378.6744
2010,F_20_24,20022,Millinocket,ME,463.95016
2010,F_20_24,20023,Norway,ME,609.1264199999999
2010,F_20_24,20024,Pittsfield,ME,601.9126200000001
2010,F_20_24,20025,Portland,ME,7648.24863
2010,F_20_24,20026,Presque Isle,ME,568.86379
2010,F_20_24,20027,Rockland,ME,1056.32113
2010,F_20_24,20028,Rumford,ME,396.86895000000004
2010,F_20_24,20029,Sanford,ME,1253.0806
2010,F_20_24,20030,Skowhegan,ME,710.08924
2010,F_20_24,20031,Waterville,ME,2006.23389
2010,F_20_24,20033,York,ME,1056.0644
2010,F_20_24,20035,Greenville,ME,43.87244
2010,F_20_24,30006,Dover,NH,328.3946
2010,F_20_24,30022,Portsmouth,NH,0
2010,F_25_29,20001,Augusta,ME,1945.83421
2010,F_25_29,20002,Bangor,ME,3900.27754
2010,F_25_29,20003,Bar Harbor,ME,256.84134
2010,F_25_29,20005,Belfast,ME,541.1771399999999
2010,F_25_29,20006,Biddeford,ME,2034.1124100000002
2010,F_25_29,20007,Blue Hill,ME,285.6573
2010,F_25_29,20008,Boothbay Harbor,ME,141.44184
2010,F_25_29,20009,Bridgton,ME,554.0434
2010,F_25_29,20010,Brunswick,ME,2104.2806499999997
2010,F_25_29,20011,Calais,ME,281.36654
2010,F_25_29,20012,Caribou,ME,448.28672
2010,F_25_29,20013,Damariscotta,ME,246.25656
2010,F_25_29,20014,Dover-Foxcroft,ME,480.57733
2010,F_25_29,20015,Ellsworth,ME,654.7664599999999
2010,F_25_29,20016,Farmington,ME,997.7843200000001
2010,F_25_29,20017,Fort Kent,ME,338.96256
2010,F_25_29,20018,Houlton,ME,404.96032
